,Name,Fibre Volume Fraction,Material,Test type,"smax,static","smax, fatigue",epsstatic,epsfatigue,Ncycles,Eit,Eic
2663,GEV213_R0390_0169,54.75,GE1,STC,-163.51850501850126,,,,1.0,,
2664,GEV213_R0390_0171,54.75,GE1,STC,-153.0585903316901,,,,1.0,,
2665,GEV213_R0390_0175,54.75,GE1,STC,-158.52892364715603,,,,1.0,,
2668,GEV213_R0390_0158,54.75,GE1,STC,-155.05836188798958,,,,1.0,,
2669,GEV213_R0390_0159,54.75,GE1,STC,-159.04305792068294,,,,1.0,,
2670,GEV213_R0390_0160,54.75,GE1,STC,-161.17585489450238,,,,1.0,,
2671,GEV207_R0400_0260,52.42023780111164,GE1,STC,-451.40096065703386,,,,1.0,,
2672,GEV207_R0400_0228,52.829937546274905,GE1,STC,-466.76840968522134,,,,1.0,,
2673,GEV207_R0400_0508,50.60758841698335,GE1,STC,-430.744791348445,,,,1.0,,
2674,GEV207_R0400_0504,50.60758841698335,GE1,STC,-416.08256733998815,,,,1.0,,
2680,GEV207_S4100_0201,,GE1,STT,408.282,,1.2643,,1.0,33.78,
2681,GEV207_S4000_0202,,GE1,STT,343.57,,1.8505,,1.0,26.35,
2682,GEV207_S4000_0201,,GE1,STT,338.31,,1.7216,,1.0,26.25,
2685,GEV207_S4300_0201,,GE1,STT,355.401,,1.1605,,1.0,31.86,
2686,GEV207_S3200_0201,,GE1,STT,286.66,,1.1772,,1.0,25.86,
2687,GEV207_S3000_0203,,GE1,STT,332.91,,1.3841,,1.0,25.4,
2688,GEV207_R0400_0377,51.882045830491805,GE1,STC,-423.01,,,,1.0,,
2701,GEV207_S3000_0205,,GE1,STT,336.845,,1.3426,,1.0,26.2,
2702,GEV207_S3000_0204,,GE1,STT,321.045,,1.334,,1.0,25.19,
2703,GEV207_S3400_0204,,GE1,STT,298.18,,1.4545,,1.0,22.37,
2704,GEV207_S3000_0201,,GE1,STT,383.09,,1.6452,,1.0,24.58,
2705,GEV207_S3400_0203,,GE1,STT,314.593,,1.3405,,1.0,25.44,
2706,GEV207_S3000_0202,,GE1,STT,331.78,,1.4044,,1.0,24.58,
2707,GEV207_S3500_0002,53.64,GE1,STT,448.1,,1.5904,,1.0,31.82,
2708,GEV207_S3300_0004,54.57,GE1,STT,434.23,,1.508,,1.0,31.66,
2709,GEV207_S3500_0001,53.64,GE1,STT,465.274,,1.5658,,1.0,32.49,
2710,GEV207_S3500_0003,53.64,GE1,STT,490.379,,1.6305,,1.0,33.73,
2711,GEV207_S3500_0004,53.64,GE1,STT,464.081,,1.5742,,1.0,33.34,
2712,GEV207_S3300_0005,54.57,GE1,STT,474.88,,1.6242,,1.0,32.77,
2713,GEV207_S3300_0204,,GE1,STT,327.87,,,,1.0,30.796,
2714,GEV207_S3400_0201,,GE1,STT,277.254,,1.1306,,1.0,26.29,
2715,GEV207_S3400_0202,,GE1,STT,293.2,,1.2334,,1.0,25.59,
2716,GEV207_S3300_0201,,GE1,STT,358.11,,1.189,,1.0,31.758,
2717,GEV207_S3300_0205,,GE1,STT,322.687,,0.95,,1.0,31.195,
2718,GEV207_S3300_0203,,GE1,STT,318.883,,1.047,,1.0,29.559,
2719,GEV207_S3300_0202,,GE1,STT,332.155,,1.112,,1.0,29.965,
2720,GEV207_S3500_0005,53.64,GE1,STT,485.54,,1.724,,1.0,31.506,
2721,GEV207_S3300_0003,54.57,GE1,STT,432.281,,1.52,,1.0,32.152,
2722,GEV207_S3300_0002,54.57,GE1,STT,446.789,,1.536,,1.0,31.756,
2723,GEV207_S3300_0001,54.57,GE1,STT,460.56,,1.617,,1.0,31.641,
2727,GEV213_R0390_0502,55.4,GE1,STC,-165.91504132843363,,,,1.0,,
2810,GEV308_I1000_0023,50.41,GE2,STT,94.8523880958553,,,,1.0,13.15,
2811,GEV308_I1000_0022,50.41,GE2,STT,94.11651973936374,,,,1.0,12.55,
2812,GEV308_I1000_0021,50.41,GE2,STT,90.52765656367868,,,,1.0,13.53,
2813,GEV308_I1000_0020,50.41,GE2,STT,91.07585779247623,,,,1.0,13.55,
2814,GEV308_I1000_0019,50.41,GE2,STT,90.87465639271876,,,,1.0,13.53,
2815,GEV308_I1000_0180,0.0,GE2,STT,95.65230485391254,,,,1.0,12.93,
2816,GEV308_I1000_0179,0.0,GE2,STT,92.66032091118376,,,,1.0,12.98,
2817,GEV308_I1000_0178,0.0,GE2,STT,94.39016161209514,,,,1.0,12.79,
2818,GEV308_I1000_0177,0.0,GE2,STT,96.34980810741635,,,,1.0,13.14,
2819,GEV308_I1000_0176,0.0,GE2,STT,97.3783047703896,,,,1.0,13.19,
2883,GEV207_S4000_0205,,GE1,STT,287.303,,1.3079,,1.0,24.58,
2884,GEV207_S4000_0204,,GE1,STT,324.939,,1.739,,1.0,24.03,
2885,GEV207_S4000_0203,,GE1,STT,311.936,,1.462,,1.0,25.79,
2886,GEV207_S3400_0205,,GE1,STT,267.399,,1.2274,,1.0,23.76,
2887,GEV207_S4300_0204,,GE1,STT,320.71,,1.0827,,1.0,30.94,
2888,GEV207_S4300_0202,,GE1,STT,385.065,,1.2638,,1.0,31.64,
2889,GEV207_S4100_0205,,GE1,STT,411.68,,1.2827,,1.0,34.25,
2890,GEV207_S4100_0204,,GE1,STT,411.62,,1.3456,,1.0,32.84,
2891,GEV207_S4100_0203,,GE1,STT,408.051,,1.3346,,1.0,32.81,
2892,GEV207_S4100_0202,,GE1,STT,396.32,,1.2776,,1.0,32.986,
2893,GEV207_S4900_0205,,GE1,STT,346.19,,1.6807,,1.0,25.536,
2894,GEV207_S4900_0204,,GE1,STT,349.48,,1.6412,,1.0,25.04,
2895,GEV207_S4900_0203,,GE1,STT,364.934,,1.7005,,1.0,25.89,
2896,GEV207_S4900_0202,,GE1,STT,379.66,,1.6964,,1.0,26.7,
2897,GEV207_S4900_0201,,GE1,STT,342.941,,1.5087,,1.0,26.166,
2898,GEV207_S3100_0205,,GE1,STT,312.22,,1.129,,1.0,28.56,
2899,GEV207_S3100_0204,,GE1,STT,306.19,,1.0192,,1.0,27.376,
2900,GEV207_S3100_0203,,GE1,STT,340.35,,1.2013,,1.0,28.976,
2901,GEV207_S3100_0202,,GE1,STT,314.84,,1.1799,,1.0,29.65,
2902,GEV207_S3100_0201,,GE1,STT,300.87,,1.5892,,1.0,27.815,
2903,GEV207_S4200_0205,,GE1,STT,392.782,,1.4917,,1.0,28.44,
2904,GEV207_S4200_0204,,GE1,STT,428.179,,1.5722,,1.0,29.42,
2905,GEV207_S4200_0203,,GE1,STT,422.253,,1.4755,,1.0,30.4,
2906,GEV207_S4200_0202,,GE1,STT,402.644,,1.533,,1.0,28.55,
2907,GEV207_S4200_0201,,GE1,STT,433.149,,1.6429,,1.0,29.16,
2908,GEV207_S3900_0205,,GE1,STT,305.94,,1.1926,,1.0,27.36,
2909,GEV207_S3900_0204,,GE1,STT,276.749,,1.1128,,1.0,26.05,
2910,GEV207_S3900_0203,,GE1,STT,233.05,,0.9407,,1.0,25.94,
2911,GEV207_S3900_0202,,GE1,STT,300.43,,1.215,,1.0,26.21,
2912,GEV207_S3900_0201,,GE1,STT,324.19,,1.2798,,1.0,26.94,
2913,GEV207_S4400_0205,,GE1,STT,434.24,,1.46,,1.0,31.41,
2914,GEV207_S4400_0204,,GE1,STT,465.57,,1.5655,,1.0,31.3,
2915,GEV207_S4400_0203,,GE1,STT,391.28,,1.3431,,1.0,31.25,
2916,GEV207_S4400_0202,,GE1,STT,412.72,,1.4449,,1.0,30.49,
2917,GEV207_S4400_0201,,GE1,STT,439.008,,1.467,,1.0,31.99,
2918,GEV207_S3200_0206,,GE1,STT,264.65,,1.2459,,1.0,22.65,
2919,GEV207_S3200_0202,,GE1,STT,297.54,,1.2412,,1.0,25.62,
2920,GEV207_S3200_0203,,GE1,STT,256.81,,1.059,,1.0,26.26,
2921,GEV207_S3200_0205,,GE1,STT,252.78,,1.1081,,1.0,24.09,
